epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,10.5018,1.25218,0.73144,0.98672,0.75868,0.00330128,0.00330128,0.0702885
2,16.2839,0.72555,0.80084,0.99819,0.54719,0.00650325,0.00650325,0.0401571
3,21.019,0.57806,0.83042,0.99759,0.48007,0.00957322,0.00957322,0.00989373
4,26.8189,0.51382,0.83102,0.99819,0.45917,0.009406,0.009406,0.009406
5,32.3593,0.42897,0.78214,0.99578,0.63108,0.009208,0.009208,0.009208
6,38.1654,0.38864,0.84369,0.99759,0.48693,0.00901,0.00901,0.00901
7,43.8926,0.33807,0.88654,0.99879,0.36097,0.008812,0.008812,0.008812
8,49.1432,0.28896,0.8793,0.99819,0.35737,0.008614,0.008614,0.008614
9,54.1531,0.27968,0.84671,0.99638,0.45386,0.008416,0.008416,0.008416
10,58.4593,0.25862,0.85335,0.9994,0.43835,0.008218,0.008218,0.008218
11,62.7727,0.25039,0.88896,0.9994,0.34527,0.00802,0.00802,0.00802
12,67.149,0.20846,0.88775,0.99879,0.3656,0.007822,0.007822,0.007822
13,71.6316,0.20571,0.89861,0.99879,0.35704,0.007624,0.007624,0.007624
14,76.0894,0.20968,0.84611,0.99759,0.49869,0.007426,0.007426,0.007426
15,80.5031,0.18601,0.89378,0.99879,0.36121,0.007228,0.007228,0.007228
16,84.8933,0.17589,0.88232,0.99578,0.3935,0.00703,0.00703,0.00703
17,89.3797,0.15371,0.87025,0.99698,0.46494,0.006832,0.006832,0.006832
18,93.9021,0.15356,0.91008,0.99879,0.32945,0.006634,0.006634,0.006634
19,98.3388,0.16278,0.8787,0.99759,0.41283,0.006436,0.006436,0.006436
20,102.743,0.14678,0.91129,0.99879,0.32038,0.006238,0.006238,0.006238
21,107.174,0.12705,0.90404,0.99879,0.31006,0.00604,0.00604,0.00604
22,111.505,0.12469,0.90766,0.9994,0.31094,0.005842,0.005842,0.005842
23,116.592,0.13533,0.92215,0.99879,0.27567,0.005644,0.005644,0.005644
24,122.079,0.11599,0.91189,0.9994,0.30604,0.005446,0.005446,0.005446
25,126.975,0.11659,0.89137,1,0.39066,0.005248,0.005248,0.005248
26,131.524,0.10376,0.91913,1,0.28978,0.00505,0.00505,0.00505
27,136.007,0.10274,0.90585,0.9994,0.35186,0.004852,0.004852,0.004852
28,140.406,0.09126,0.91249,0.99759,0.30785,0.004654,0.004654,0.004654
29,144.866,0.09345,0.91792,0.9994,0.2728,0.004456,0.004456,0.004456
30,149.309,0.09481,0.90223,0.9994,0.35181,0.004258,0.004258,0.004258
31,154.61,0.08629,0.91551,0.9994,0.31662,0.00406,0.00406,0.00406
32,160.15,0.08953,0.92456,0.99879,0.30598,0.003862,0.003862,0.003862
33,165.682,0.0867,0.92336,0.9994,0.28419,0.003664,0.003664,0.003664
34,172.011,0.07877,0.92215,0.99879,0.28988,0.003466,0.003466,0.003466
35,177.537,0.07957,0.91672,0.9994,0.28467,0.003268,0.003268,0.003268
36,182.531,0.0801,0.92456,0.9994,0.29086,0.00307,0.00307,0.00307
37,189.191,0.07427,0.92577,0.99879,0.2851,0.002872,0.002872,0.002872
38,195.688,0.07126,0.9306,0.99879,0.29178,0.002674,0.002674,0.002674
39,200.371,0.06282,0.92879,0.9994,0.28654,0.002476,0.002476,0.002476
40,204.92,0.06544,0.92577,0.99879,0.27433,0.002278,0.002278,0.002278
