epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,12.7641,1.55897,0.65198,0.99119,1.06696,0.00327485,0.00327485,0.0705263
2,14.5728,0.94492,0.72687,1,0.66754,0.00595398,0.00595398,0.0398721
3,15.7614,0.7179,0.76211,0.99119,0.49596,0.0079731,0.0079731,0.00855789
4,17.0168,0.56558,0.80176,0.99559,0.56531,0.00703,0.00703,0.00703
5,18.1511,0.50295,0.78414,0.99119,0.65836,0.00604,0.00604,0.00604
6,19.2768,0.45342,0.81938,1,0.55338,0.00505,0.00505,0.00505
7,20.387,0.34068,0.81057,1,0.42554,0.00406,0.00406,0.00406
8,21.5377,0.33044,0.85903,1,0.42764,0.00307,0.00307,0.00307
9,22.6975,0.28874,0.82379,1,0.53845,0.00208,0.00208,0.00208
10,23.8238,0.24567,0.87225,1,0.41022,0.00109,0.00109,0.00109
